Latitude,Longitude,Elevation
118.7010684166,31.8940866197,5.186394927018035
118.7010684166,31.8945386618,5.194217845984663
118.7010684166,31.894990704,5.169124040191991
118.7010684166,31.8954427462,5.104764353935355
118.7010684166,31.8958947884,5.003262196470988
118.7010684166,31.8963468306,4.874662619993327
118.7010684166,31.8967988728,4.733733591692724
118.7010684166,31.897250915,4.59582282084266
118.7010684166,31.8977029572,4.473351174093717
118.7010684166,31.8981549994,4.373872026329778
118.7010684166,31.8986070415,4.29990022787706
118.7010684166,31.8990590837,4.250082825566026
118.7010684166,31.8995111259,4.220909729828382
118.7010684166,31.8999631681,4.208209647365708
118.7010684166,31.9004152103,4.2080696492482685
118.7010684166,31.9008672525,4.2172767279980325
118.7010684166,31.9013192947,4.233627624683486
118.7010684166,31.9017713369,4.256430634578625
118.7010684166,31.9022233791,4.287284848180553
118.7010684166,31.9026754212,4.330823174006179
118.7010684166,31.9031274634,4.394685561565478
118.7010684166,31.9035795056,4.4879112916331145
118.7010684166,31.9040315478,4.6175672208088026
118.7010684166,31.90448359,4.784640994840888
118.7010684166,31.9049356322,4.981182397688552
118.7010684166,31.9053876744,5.19053009821744
118.7010684166,31.9058397166,5.391115012574054
118.7010684166,31.9062917588,5.562682485074837
118.7010684166,31.9067438009,5.692720671285459
118.7010684166,31.9071958431,5.780773740836859
118.7010684166,31.9076478853,5.838983401884663
118.7010684166,31.9080999275,5.8884683094758055
118.7010684166,31.9085519697,5.9527959353131354
118.7010684166,31.9090040119,6.051064756048789
118.7010684166,31.9094560541,6.193234008687129
118.7010684166,31.9099080963,6.379059603473814
118.7010684166,31.9103601385,6.810215831877489
118.7010684166,31.9108121806,9.153341504729498
118.7010684166,31.9112642228,13.430629961831228
118.7010684166,31.911716265,19.24466712173788
118.7010684166,31.9121683072,23.260573588917996
118.7010684166,31.9126203494,25.431483314204755
118.7010684166,31.9130723916,25.922291648532003
118.7010684166,31.9135244338,26.36763883226741
118.7010684166,31.913976476,26.758535317266986
118.7010684166,31.9144285182,27.086417531649218
118.7010684166,31.9148805603,27.346783713078
118.7010684166,31.9153326025,27.543086492985182
118.7010684166,31.9157846447,27.68803063169627
118.7010684166,31.9162366869,27.800223990116248
118.7010684166,31.9166887291,27.897596099980156
118.7010684166,31.9171407713,27.991379544505534
118.7010684166,31.9175928135,28.08449372879507
118.7010684166,31.9180448557,28.174440770980773
118.7010684166,31.9184968979,28.258015359995035
118.7010684166,31.91894894,28.334363213708528
118.7010684166,31.9194009822,28.40544199331467
118.7010684166,31.9198530244,28.474802062875654
118.7010684166,31.9203050666,28.546311999572627
118.7010684166,31.9207571088,28.62340128961199
118.7010684166,31.921209151,28.70878596444916
118.7010684166,31.9216611932,28.804442862255762
118.7010684166,31.9221132354,28.911826646453235
118.7010684166,31.9225652776,29.032236093823485
118.7010684166,31.9230173197,29.16704539771659
